No,연번,브랜드명,사업장명,대표자명,업종(중분류),업종(소분류),주소,경도,위도,상태
46,13046,메인비즈,(주)진보정밀,최득식,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기도 화성시 남양읍 주석로184번길 72 (남양읍),126.846517269403,37.2123631034368,정좌표
47,13047,메인비즈,주식회사 동주,박주남,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,경기 평택시 서탄면 수월암4길 204 1호,127.034189291776,37.131999009272,정좌표
48,13048,메인비즈,주식회사 근우,김재진,도매 및 상품 중개업,"건축자재, 철물 및 난방장치 도매업",서울특별시 서초구 사임당로 11 (근우빌딩),127.011444890643,37.487619626552,정좌표
49,13049,메인비즈,피지랜드(주),강정구,소매업; 자동차 제외,무점포 소매업,경기도 고양시 일산동구  백마로 195 (장항동) 5001동 1호,126.772049160106,37.6542261601521,정좌표
50,13050,메인비즈,(주)휴머니스트출판그룹,김학원,출판업,"서적, 잡지 및 기타 인쇄물 출판업",서울 마포구 동교로23길 76 주)휴머니스트출판그룹사옥 (연남동),126.918521115891,37.5589609611692,정좌표
51,13051,메인비즈,(유)동일약품,허근,도매 및 상품 중개업,생활용품 도매업,전북 전주시 덕진구 호반5길 9-10 (덕진동2가),127.116968893934,35.8487532672199,정좌표
52,13052,메인비즈,주식회사 이엘테크,이춘식,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,경기 안산시 단원구 해봉로 272-24 (신길동),126.772002379543,37.3233608130395,정좌표
53,13053,메인비즈,용호금속(주),김용갑,1차 금속 제조업,금속 주조업,전남 장성군 황룡면 강변로 451-36 B L,126.763670925772,35.2852266321101,정좌표
54,13054,메인비즈,덕성인더스트리(주),이수열,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,충남 아산시 둔포면 아산밸리로 303 ,127.064930422907,36.913506140671,정좌표
55,13055,메인비즈,(주)대현철강,김기배,도매 및 상품 중개업,기타 전문 도매업,경기 화성시 경기대로 1098 (진안동),127.031912334828,37.2129094813127,정좌표
56,13056,메인비즈,(주)아이넷빌더,박해성,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울 영등포구 국제금융로 70 미원빌딩 1202호 (여의도동),126.930677454998,37.521493624905,정좌표
57,13057,메인비즈,주식회사 드림팜,유봉해,도매 및 상품 중개업,생활용품 도매업,강원도 원주시  시청로 33-1 (무실동) 2층,127.924395941039,37.340130095636,정좌표
58,13058,메인비즈,대양씨앤지 주식회사,김흥철,사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,서울특별시 은평구  갈현로 93 (역촌동) 3층,126.910432688756,37.6062762586145,정좌표
59,13059,메인비즈,글로벌팜 주식회사,윤성민,도매 및 상품 중개업,생활용품 도매업,서울특별시 금천구 시흥대로 143 (지하6호(신라상가)),126.903084330571,37.4469155463294,정좌표
60,13060,메인비즈,한국소문사,박성구,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,"경기 파주시 회동길 270 (문발동, 한국소문사)",126.690029782953,37.7135974275016,정좌표
61,13061,메인비즈,세원산업,김정곤,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기 부천시  도약로297번길 32 (도당동),126.783044109386,37.5120131532264,정좌표
62,13062,메인비즈,(주)이안디자인건축사사무소,장성열,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",서울특별시 송파구  도곡로 442-0 (잠실동),127.077484804293,37.5048705012805,정좌표
63,13063,메인비즈,(주)카옥션,장영수,출판업,소프트웨어 개발 및 공급업,"서울특별시 서초구  효령로34길 4 (방배동, 프린스효령빌딩) 502호",126.998916767938,37.481362373014,정좌표
64,13064,메인비즈,주식회사 태림이앤씨,이호진,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","서울특별시 영등포구  영신로 220 (영등포동8가, KnK디지털타워) 1802호",126.904261948292,37.5268029848491,정좌표
65,13065,메인비즈,(주)큐원,한석훈,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,경기도 여주시 연하동로 166 ,127.605813223178,37.253971819562,정좌표
66,13066,메인비즈,(주)씨에스비전,양호철,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"서울특별시 구로구  디지털로30길 31 (구로동, 코오롱디지털타워빌란트2차) 811호",126.896324354321,37.4828781505013,정좌표
67,13067,메인비즈,(주)삼현스프링,김한기,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경남 함안군 칠원읍 오곡로 132-32 (삼천산업),128.515519927673,35.2790933430213,정좌표
68,13068,메인비즈,금강기획인쇄,이규성,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,서울 중구 퇴계로37길 18 기종빌딩별관 303호 (충무로4가),126.993755163864,37.5620341025393,정좌표
69,13069,메인비즈,(주)지오테크시스템,유호상,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,경기도 부천시  조마루로385번길 122 (춘의동) 삼보테크노타워 1층 106호,126.791534879313,37.5015884746922,정좌표
70,13070,메인비즈,일렉파워 주식회사,"김성호,김재필",종합 건설업,건설업본사(소분류),"서울 강남구 양재대로55길 29 501호 (일원동, 대평빌딩)",127.087078993405,37.4927079361539,정좌표
71,13071,메인비즈,봄소와 주식회사,유다경,소매업; 자동차 제외,기타 생활용품 소매업,경기 광주시 오포읍 오포로 290 ,127.193188351397,37.3470003976144,정좌표
72,13072,메인비즈,씨. 에스 에프(주),이동현,도매 및 상품 중개업,상품 중개업,부산 동래구 연안로58번길 7 (안락동),129.110921226096,35.1920417760601,정좌표
73,13073,메인비즈,에코스마트주식회사,이현주,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기 화성시 팔탄면 무하로156번길 9 에코스마트,126.860545121636,37.1837289812853,정좌표
74,13074,메인비즈,한일마이크로텍(주),김동엽,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",인천 남동구 경신상로 153 (수산동),126.722881931717,37.4376803980965,정좌표
75,13075,메인비즈,(주)성우상사,김의태,도매 및 상품 중개업,상품 종합 도매업,"부산광역시 해운대구  센텀중앙로 97 (재송동, 센텀스카이비즈) A동 1701호",129.125219673217,35.1746021135331,정좌표
76,13076,메인비즈,신대아엔지니어링,홍보근,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,부산 영도구 대평로53번길 2 (대평동2가),129.032614320927,35.0932869138977,정좌표
77,13077,메인비즈,영진비쥬얼테크놀러지(주),이용준,소매업; 자동차 제외,기타 상품 전문 소매업,경기도 하남시 조정대로 150 433호 (아이테코 ),127.194669551776,37.5535252505868,정좌표
78,13078,메인비즈,주식회사 트러스트앤베스트,구원회,창고 및 운송관련 서비스업,기타 운송관련 서비스업,"서울 중구 남대문로 120 803호 (남대문로1가, 대일빌딩)",126.98313395115,37.5679425616014,정좌표
79,13079,메인비즈,(주)정도설비,"이상일,이상천",종합 건설업,건설업본사(소분류),서울 송파구 도곡로 454 (잠실동),127.078546235106,37.5056201680624,정좌표
80,13080,메인비즈,태인철강(주),윤태돈,도매 및 상품 중개업,기타 전문 도매업,인천 서구 마중2로 36 (오류동),126.605079933131,37.588432668891,정좌표
81,13081,메인비즈,주식회사 중앙약품,정철복,소매업; 자동차 제외,기타 상품 전문 소매업,광주광역시 서구  원마륵1길 19 (마륵동),126.835817439323,35.1452305348198,정좌표
82,13082,메인비즈,대우홈마트,김현숙,소매업; 자동차 제외,종합 소매업,"서울특별시 광진구  영화사로 14 (중곡동, 1층, 2층, 지층)",127.088794459227,37.5578706557738,정좌표
83,13083,메인비즈,(주)한서인더스트리,이성원,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,인천광역시 동구 봉수대로97 (송림동),126.659768041296,37.484713517422,정좌표
84,13084,메인비즈,심천식품,박남희,식료품 제조업,기타 식품 제조업,충남 금산군 남일면 신동길 239 (심천치유휴양림),127.485610295666,35.994493247069,정좌표
85,13085,메인비즈,(주)누리인프라,정성우,소매업; 자동차 제외,가전제품 및 정보통신장비 소매업,"서울특별시 관악구  쑥고개로 87 (봉천동, 반석빌딩 5층)",126.946185075369,37.4795146159953,정좌표
86,13086,메인비즈,유한회사 한터,안병한,농업,작물 재배업,전라북도 정읍시 초산동(시기동) 산 9번지 28호 전북과학대학 창업보육센터 402호,126.859332075122,35.5521661734564,정좌표
87,13087,메인비즈,(주) 동양전자,김은경,전기장비 제조업,절연선 및 케이블 제조업,광주광역시 광산구  사암로118번길 79 (우산동),126.812049911098,35.1549017458039,정좌표
88,13088,메인비즈,주식회사바이올푸드,"강명숙,권형근",식료품 제조업,"도축, 육류 가공 및 저장 처리업",경남 양산시 상북면 충렬로 463 ,129.045432935051,35.3829778723902,정좌표
89,13089,메인비즈,경동화학(주),이정석,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,충남 금산군 추부면 군북로 1322-45 (경동화학㈜),127.517727215164,36.2206097835435,정좌표
90,13090,메인비즈,(주)대성공사,"정선숙,배효도",사업지원 서비스업,"경비, 경호 및 탐정업","부산 사하구 장평로 286-1, 2층 (신평동)",128.973539006606,35.0916233971411,정좌표
91,13091,메인비즈,(주)이렌컴서비스,구병수,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"부산 해운대구 APEC로 55 (우동, 벡스코 1층 비지니스센터)",129.136017905823,35.1690640109663,정좌표
92,13092,메인비즈,제이디건설(주),전중달,종합 건설업,건설업본사(소분류),경북 영천시 상록6길 6 (야사동),128.94211350971,35.9732836086371,정좌표
93,13093,메인비즈,(주)로진,구용회,음료 제조업,비알코올음료 및 얼음 제조업,경북 영주시 풍기읍 소백로 2141-16 (소백산맑은샘물),128.536903436406,36.8886426654325,정좌표
94,13094,메인비즈,(주)한국그린환경,정경태,사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,광주 북구 태봉로 59 2층 (신안동),126.905326959588,35.1626597912381,정좌표
95,13095,메인비즈,앞치마세상,유동균,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,경기도 고양시 일산동구  성현로 198 (성석동),126.808031917477,37.7085198002995,정좌표
96,13096,메인비즈,우리스틸 주식회사,김병준,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",경상남도 창녕군 대합면 대합산업단지로 120-25 (대합면),128.442368825622,35.6199235614554,정좌표
97,13097,메인비즈,(주)조은환경안전기술,임택수,"건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","경기 안산시 단원구 광덕4로 108 407호 (고잔동, 고잔프라자)",126.824281080215,37.3151675929751,정좌표
98,13098,메인비즈,충북사슴영농조합법인,안정아,식료품 제조업,기타 식품 제조업,충북 청주시 청원구 상리로8번길 100 (율량동),127.515834091864,36.6623653103013,정좌표
99,13099,메인비즈,(주)지피앤피,이양규,도매 및 상품 중개업,상품 종합 도매업,서울 강남구 삼성로 706 6층 (청담동),127.050303438474,37.519345102626,정좌표
100,13100,메인비즈,조아기프트(주),김재점,소매업; 자동차 제외,기타 상품 전문 소매업,서울특별시 금천구 가산디지털1로 165 9층 (가산비즈니스센터),126.881027940591,37.4802277955227,정좌표
1,13101,메인비즈,동양종합건설주식회사,강석경,전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,"경남 창원시 의창구 중앙대로 263 603호 (용호동, 오피스프라자)",128.689342083122,35.2359300163427,정좌표
2,13102,메인비즈,세풍지업상사,정헌화외2명,도매 및 상품 중개업,생활용품 도매업,대전 동구 태전로 56-9 (삼성동),127.428085260151,36.3355294668152,정좌표
3,13103,메인비즈,주식회사 신스틸,신승곤,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,부산 강서구 미음산단4로 174 (미음동),128.858353439909,35.1601937570339,정좌표
4,13104,메인비즈,초이스테크,강은철,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,"부산광역시 강서구  녹산산업대로 117-12 (송정동, (주)태광 內)",128.833072646379,35.090162292242,정좌표
5,13105,메인비즈,신한내산,소진호,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기도 김포시 하성면 원통로28번길 51 (하성면),126.620051771002,37.7148523586489,정좌표
6,13106,메인비즈,주식회사 포라,유준재,출판업,소프트웨어 개발 및 공급업,서울 서초구 효령로34길 76 (방배동) 401호,127.000948645523,37.4784606591907,정좌표
7,13107,메인비즈,주식회사 에스마린,김석대,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,부산광역시 사하구  감천항로 454 (다대동) 대선조선㈜內,128.991470006874,35.0549197195267,정좌표
8,13108,메인비즈,주식회사 미라클,박광호,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,"인천광역시 미추홀구  주염로 58 (주안동, 주안시범공단) 310호",126.685475903116,37.4715254225619,정좌표
9,13109,메인비즈,(주)호산메디칼,이광영,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울특별시 서초구 헌릉로 164 3층 (민예빌딩),127.058227903805,37.4572419111196,정좌표
10,13110,메인비즈,(주) 신광타올,이창석,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,대구 서구 와룡로69길 6 (중리동),128.536662496519,35.8643815361122,정좌표
11,13111,메인비즈,(주)에프앤아이코리아,김현곤,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,서울 금천구 벚꽃로 278 SJ테크노빌 1113 (가산동),126.884634905962,37.4794929229155,정좌표
12,13112,메인비즈,태경전산폼(주),권순모,소매업; 자동차 제외,가전제품 및 정보통신장비 소매업,서울 금천구 벚꽃로 286 리더스타워 7층 711 (가산동),126.884121378989,37.4803938566721,정좌표
13,13113,메인비즈,(주)멀티텍,정재영,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,"인천광역시 남동구  남동서로 96 (고잔동, 119블럭1롯트)",126.686637434488,37.399367799925,정좌표
14,13114,메인비즈,케이티무역(주),장우섭,도매 및 상품 중개업,상품 중개업,경기도 광주시 곤지암읍 경충대로 187-26 (곤지암읍),127.379706547257,37.3308472317259,정좌표
15,13115,메인비즈,(주)우리테크인터내셔날,나현호,출판업,소프트웨어 개발 및 공급업,경기도 성남시 분당구 운중로 135 3층 304호 (더원스퀘어),127.078152637109,37.3919415566165,정좌표
16,13116,메인비즈,(주) 동화폴리,민동분,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,경기도 김포시 통진읍 동을산로 167-4 (통진읍),126.627465085739,37.7010384876433,정좌표
17,13117,메인비즈,(주)유림산업,임한철,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,경기 시흥시 마유로92번길 44 시화공단 3마 215호 (정왕동),126.722546555557,37.3262021613501,정좌표
18,13118,메인비즈,명보주식회사,김종복,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",부산광역시 사상구 광장로56번길 48 3층 (명보빌딩),128.981870037296,35.1599019933464,정좌표
19,13119,메인비즈,(주)은진바이오,김동봉,식료품 제조업,동물용 사료 및 조제식품 제조업,충남 천안시 서북구 성환읍 와룡길 556 ,127.097446043687,36.9556079032091,정좌표
20,13120,메인비즈,(주)일주코리아,한영노,도매 및 상품 중개업,"건축자재, 철물 및 난방장치 도매업",경상남도 창원시 진해구 웅동로 183 ,128.792764892951,35.1179954386069,정좌표
21,13121,메인비즈,주식회사 태웅산업,김남식,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,경북 경주시 외동읍 모화공단길 131 ((주)태웅산업),129.34613551441,35.6811223294252,정좌표
22,13122,메인비즈,영광금속,장도섭,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기 부천시  신흥로446번길 56 (내동),126.778904077609,37.5236389203824,정좌표
23,13123,메인비즈,(주)미니센스,오민혜,소매업; 자동차 제외,기타 상품 전문 소매업,"서울특별시 종로구  창경궁로 136 (원남동, 보령빌딩) 4층",126.997985390501,37.5745122099567,정좌표
24,13124,메인비즈,주식회사 주천약품,이성원,도매 및 상품 중개업,생활용품 도매업,서울 동대문구 전농로 35 (답십리동),127.056782609192,37.5682432048887,정좌표
25,13125,메인비즈,(주)로웸,권오승,출판업,소프트웨어 개발 및 공급업,서울특별시 구로구  디지털로32길 30 10층 1015호 (구로동)코오롱디지털타워빌란트,126.896520285792,37.4833905809356,정좌표
26,13126,메인비즈,(주)코스믹대영,김영국,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경기도 김포시 하성면 월하로732 ,126.636044142853,37.7094917686743,정좌표
27,13127,메인비즈,에이치케이스틸 주식회사,윤희권,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",충청남도 예산군 고덕면 상몽2길 143-92 (고덕면),126.697379571027,36.7993644655038,정좌표
28,13128,메인비즈,(주)컴프리즈,강영철,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,경기도 고양시 일산동구  장대길 106-68 (장항동),126.767863874766,37.6411580822291,정좌표
29,13129,메인비즈,(주)코리아보드게임즈,"김길오,정영훈(각자대표)",도매 및 상품 중개업,생활용품 도매업,경기 파주시 탄현면 요풍길 10 ,126.686399538462,37.7822496729349,정좌표
30,13130,메인비즈,(주)태광인더스트리,이강성,섬유제품 제조업; 의복제외,기타 섬유제품 제조업,"경기 용인시 처인구 백암면 고안로51번길 28-2 주2동 1,2층",127.405098701242,37.1343839285304,정좌표
31,13131,메인비즈,주식회사 명품에너지코리아,박광민,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,경기 양주시 평화로 1327 (산북동),127.04588818424,37.8096378739196,정좌표
32,13132,메인비즈,(주)대산엘리베이터,이영직,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,대구 남구 대명복개로 50 (대명동),128.561927913774,35.8397802991661,정좌표
33,13133,메인비즈,주식회사 뉴트리원,권진혁,소매업; 자동차 제외,음ㆍ식료품 및 담배 소매업,"서울 송파구 올림픽로 295 12층 (신천동, 삼성생명 잠실빌딩)",127.103228582665,37.5149175464678,정좌표
34,13134,메인비즈,(주)화신상사,안호성,도매 및 상품 중개업,기타 전문 도매업,대전광역시 서구  벌곡로 1294 (가수원동),127.356703411221,36.2970627718826,정좌표
35,13135,메인비즈,주식회사 비티에스투,허정임,사업지원 서비스업,"경비, 경호 및 탐정업",부산 영도구 대교로 22 미광마린타워종합상가 A 202 (봉래동2가),129.042899390955,35.0937752277981,정좌표
36,13136,메인비즈,(주)명일제작,김헌장,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,"경기도 안산시 단원구  목내로119번길 55-7 (목내동, 반월공단 15블럭4롯트)",126.770694316523,37.312870939043,정좌표
37,13137,메인비즈,(주)현진메인티넌스,조은경,사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,"서울 강서구 금낭화로 128 하이포트 508호 (방화동,하이포트)",126.812685658132,37.576558771619,정좌표
38,13138,메인비즈,주식회사 진우식품,박성휘,식료품 제조업,"도축, 육류 가공 및 저장 처리업",대구광역시 동구 반야월북로2길 15-1 ,128.703284731413,35.87828186434,정좌표
39,13139,메인비즈,영성개발(주),"최삼열,이은숙",사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,대전 유성구 반석로 7 505 (반석동),127.313876434767,36.3915799373251,정좌표
40,13140,메인비즈,주식회사 파파벨라,이영미,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,"서울특별시 금천구  가산디지털1로 181 (가산동, 가산W센터) 510호",126.880393163418,37.4814244432625,정좌표
41,13141,메인비즈,부영자원 주식회사,윤칠선,"폐기물 수집, 운반, 처리 및 원료 재생업","해체, 선별 및 원료 재생업",세종 연서면 공단로 112 ,127.26872071688,36.5510544015088,정좌표
42,13142,메인비즈,주식회사 청림,김기연,도매 및 상품 중개업,"건축자재, 철물 및 난방장치 도매업",세종특별자치시  금남면 세종로 215-1 (금남면),127.284951554502,36.4395704600477,정좌표
43,13143,메인비즈,고려부품(주),박창규,자동차 및 부품 판매업,자동차 부품 및 내장품 판매업,경기 안양시 만안구 박달로 319 (박달동),126.889829272249,37.4057794390823,정좌표
44,13144,메인비즈,(주)얼라이드시스템,조창현,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,대구광역시 수성구 범안로91길 51-22 ,128.669401602497,35.8353350668217,정좌표
45,13145,메인비즈,(주)동양해외관광,최수연,육상운송 및 파이프라인 운송업,육상 여객 운송업,전북 익산시 석암로 142 (석암동),127.005206043501,35.943949472006,정좌표
46,13146,메인비즈,(주)길림양행,윤태원,식료품 제조업,기타 식품 제조업,경기 광주시 오포읍 봉골길 176 ,127.198752504072,37.3577536288894,정좌표
47,13147,메인비즈,(주)명신기연,정사일,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,경기도 화성시 마도면 청원산단3길 163 (마도면),126.765724914144,37.166911336597,정좌표
48,13148,메인비즈,주식회사 성하,문병순,기타 제품 제조업,그 외 기타 제품 제조업,"경기도 김포시 통진읍 김포대로 1970 (통진읍, 가동)",126.624779224578,37.6805543229328,정좌표
49,13149,메인비즈,(주)이데아인터렉티브,손희주,정보서비스업,기타 정보 서비스업,서울 강동구 강동대로55길 72 이데아빌 2층 (성내동),127.133965599751,37.5253181582259,정좌표
50,13150,메인비즈,인성기공(주),김영철,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,울산광역시 북구  매곡산업6길 15-9 (매곡동),129.366498613514,35.6386905967701,정좌표
51,13151,메인비즈,상일전산폼주식회사,김병순,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,경기 파주시 탄현면 국원말길 10-52 ,126.711713569806,37.7782509772753,정좌표
52,13152,메인비즈,(주)크로니아이티,이해관,출판업,소프트웨어 개발 및 공급업,서울특별시 송파구 중대로 113 5층 (전기회관),127.120839740493,37.4939973915078,정좌표
53,13153,메인비즈,(주)승진그린텍,양성완,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",경남 밀양시 초동면 금포안길 100 ,128.707829834344,35.3910482445258,정좌표
54,13154,메인비즈,(주)한일통신,허진섭,종합 건설업,건설업본사(소분류),대구광역시 북구  태전로3길 23-10 (태전동),128.542776583415,35.9205805926321,정좌표
55,13155,메인비즈,주식회사 이십일세기소프트,이성주,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울특별시 영등포구 선유로 146 14층 10호 (이앤씨드림타워 ),126.891828722738,37.5268511994587,정좌표
56,13156,메인비즈,신진레미콘(주),"박중한,박종수",비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",대구 북구 3공단로 5 (노원동3가),128.553935383049,35.8931275527839,정좌표
57,13157,메인비즈,(주)코원이엔씨,이종표,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",충청남도 당진시 신평면 뱃골길 4-91 ,126.769342746152,36.8731870243893,정좌표
58,13158,메인비즈,(주)광진티엘에스,김경호,창고 및 운송관련 서비스업,보관 및 창고업,부산 남구 우암로 112 (감만동),129.082022951261,35.1199349353194,정좌표
59,13159,메인비즈,(주)메가커뮤니케이션,윤현덕,사업지원 서비스업,기타 사업지원 서비스업,서울특별시 서대문구 연희로11라길 7 ,126.929711742482,37.5684300977532,정좌표
60,13160,메인비즈,(주)그린코리아,성명현,소매업; 자동차 제외,무점포 소매업,경기 고양시 일산서구 덕산로 246 (덕이동),126.730593923879,37.6944582396788,정좌표
61,13161,메인비즈,트롤네트웍스 주식회사,김상열,우편 및 통신업,전기 통신업,대전광역시 동구  한밭대로 1245 (용전동) 9층,127.436052435038,36.3567146430178,정좌표
62,13162,메인비즈,(주)푸드엔,김광원,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,부산광역시 남구 석포로 112 ,129.090858635396,35.1271673649909,정좌표
63,13163,메인비즈,에스포항병원,김문철,보건업,병원,경상북도 포항시 남구 희망대로 352 ,129.331401593924,36.0348239249024,정좌표
64,13164,세계일류상품,(주)유풍,조우형,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,서울 구로구 구로동로 174 (구로동),126.883364457399,37.4940487712389,정좌표
65,13165,세계일류상품,유니온머티리얼(주),김진영/이우선,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,대구 달서구 성서공단남로 151 (월암동),128.508554855257,35.830728505438,정좌표
66,13166,세계일류상품,(주)은성사,박보국,기타 제품 제조업,운동 및 경기용구 제조업,부산 사하구 다대로 342 (장림동),128.975594153902,35.0718966196777,정좌표
67,13167,세계일류상품,(주)유니베라,박영주,소매업; 자동차 제외,음ㆍ식료품 및 담배 소매업,"서울 성동구 아차산로 78 (성수동2가, 남양에코넷센터)",127.052616399999,37.5452475500722,정좌표
68,13168,세계일류상품,(주)코맥스,변봉덕/변우석,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,경기 성남시 중원구 둔촌대로 494 (상대원동),127.172508615593,37.4312138662477,정좌표
69,13169,세계일류상품,디케이동신(주),양승주,1차 금속 제조업,1차 철강 제조업,"경북 포항시 남구 대송로 154 (괴동동, 디케이동신)",129.370908345154,35.9933626949216,정좌표
70,13170,세계일류상품,지이파워시스템즈코리아㈜,제프리앤드류소머,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",경기도 성남시 분당구 대왕판교로712번길 22 B동 5층,127.10207730594,37.4064758919155,정좌표
71,13171,세계일류상품,(주)디엠에스,박용석,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,경기도 용인시 기흥구 흥덕중앙로 120 6층,127.080097475508,37.2748900289897,정좌표
72,13172,세계일류상품,(주)EG,박지만,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,충남 금산군 추부면 서대산로 459 ,127.497659223044,36.2222946487443,정좌표
73,13173,세계일류상품,제주어류양식수산업협동조합,한용선,금융업,은행 및 저축기관,제주 제주시 동광로 117 (일도이동),126.539301274273,33.5068893245,정좌표
74,13174,세계일류상품,크레신(주),이종배/오우동,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,서울 서초구 강남대로107길 5 (잠원동),127.018170391935,37.5180849315157,정좌표
75,13175,세계일류상품,정우금속공업(주),이광원,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,경기 양주시 남면 감악산로199번길 71-30 ,126.975081261351,37.8824956513082,정좌표
76,13176,세계일류상품,(주)진성티이씨,윤준수/윤성수,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경기 평택시 세교산단로 3 (세교동),127.078973129619,37.0082216825432,정좌표
77,13177,세계일류상품,대창단조(주),박권일,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,경남 김해시 생림면 봉림로 115-92 (대창단조),128.844957334762,35.340004018931,정좌표
78,13178,세계일류상품,(주)성안,박상태,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,대구 북구 검단동로 35 (검단동),128.622941717713,35.9143918550914,정좌표
79,13179,세계일류상품,(주)케이씨아이,이진용,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,경기 시흥시 공단1대로28번길 87 시화1라1237-8시화공단1라708 (정왕동),126.703016779835,37.3417210647679,정좌표
80,13180,세계일류상품,(주)동방플랜텍,이동욱,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,대구 달서구 성서공단북로 183 (신당동),128.493357912219,35.8446964333062,정좌표
