company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
씨제이프레시웨이주식회사,월급,1914440,2300000,주5일근무,학력무관,관계없음,20,532302,22-01-07,채용시까지  22-03-06,서울,서울 강남구,서울특별시 강남구 언주로 211,N,01
롯데건설㈜,연봉,40000000,0,주6일근무,대졸(2~3년),관계없음,20,140203,22-01-07,22-02-06,서울,서울 노원구,서울특별시 노원구 덕릉로 744,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-06,채용시까지  22-03-04,서울,서울 광진구,서울특별시 광진구 아차산로 627,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-06,채용시까지  22-03-04,서울,서울 용산구,서울특별시 용산구 이촌로 352,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-06,채용시까지  22-03-04,서울,서울 강북구,서울특별시 강북구 오현로32길 4-3,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-06,채용시까지  22-03-03,서울,서울 성동구,서울특별시 성동구 고산자로 164,N,01
하나은행,시급,10000,0,주5일근무,학력무관,경력,21,032401,22-01-05,채용시까지  22-03-04,서울,서울 영등포구,서울특별시 영등포구 63로 50,N,01
(주)에스텍시스템,월급,2300000,2500000,,고졸,신입,10,541901,22-01-04,채용시까지  22-03-03,서울,서울 강남구,서울특별시 강남구 개포로 619,N,01
(주)에스텍시스템,월급,2700000,0,주5일근무,학력무관,관계없음,10,702901,22-01-04,22-02-08,서울,서울 송파구,서울특별시 송파구 올림픽로 300,N,01
메리츠화재해상보험(주),월급,1914440,2820000,주5일근무,학력무관,관계없음,20,032300,22-01-04,채용시까지  22-02-27,서울,서울 영등포구,서울특별시 영등포구 국제금융로2길 11,N,01
푸르덴셜생명보험,연봉,50000000,0,주5일근무,대졸(2~3년),관계없음,10,012400,22-01-04,채용시까지  22-03-03,서울,서울 중구,서울특별시 중구 소공로 94,N,01
씨제이프레시웨이주식회사,시급,9160,9160,주5일근무,학력무관,관계없음,20,532300,22-01-03,채용시까지  22-02-12,서울,서울 금천구,서울특별시 금천구 가산디지털1로 19,N,01
롯데건설㈜,월급,2800000,3100000,주6일근무,학력무관,경력,20,702900,22-01-03,22-02-25,서울,서울 영등포구,서울특별시 영등포구 선유로9길 30,N,01
씨제이프레시웨이주식회사,월급,2400000,2500000,주5일근무,학력무관,관계없음,20,532300,21-12-29,채용시까지  22-02-12,서울,서울 강서구,서울특별시 강서구 강서로 295,N,01
지에스건설(주),연봉,36000000,0,주6일근무,학력무관,경력,20,701901,21-12-29,채용시까지  22-02-05,서울,서울 서초구,서울특별시 서초구 나루터로4길 70-5,N,01
